instance_id,grid,config,m,B,L,gqe_seed,optimum,gqe_cost,sa_cost,tabu_cost,greedy1_cost,greedy20_cost,blind_cost,gqe_exact,sa_exact,tabu_exact,greedy1_exact,greedy20_exact,blind_exact,gqe_gap,blind_gap,n_gates
IEEE-30_v30_core_b5l9_003,IEEE-30,v30_core_b5l9,45,5,9,101,-11.04662870997317,-4.360709015154505,-10.765733631827473,-10.765733631827473,6.478921347240316,6.478921347240316,-5.261295488345439,False,False,False,False,False,False,6.685919694818665,5.785333221627731,19
IEEE-30_v30_core_b5l9_003,IEEE-30,v30_core_b5l9,45,5,9,102,-11.04662870997317,-5.261295488345439,-10.765733631827473,-10.765733631827473,6.478921347240316,6.478921347240316,-5.261295488345439,False,False,False,False,False,False,5.785333221627731,5.785333221627731,19
IEEE-57_v57_core_b5l9_001,IEEE-57,v57_core_b5l9,45,5,9,101,-29.3172760507946,-27.546438102437893,-29.317276050794582,-29.317276050794582,-15.741613674829214,-15.741613674829214,-27.74544308784172,False,True,True,False,False,False,1.7708379483567072,1.5718329629528789,19
IEEE-57_v57_core_b5l9_001,IEEE-57,v57_core_b5l9,45,5,9,102,-29.3172760507946,-23.03335243799986,-29.317276050794582,-29.317276050794582,-15.741613674829214,-15.741613674829214,-27.74544308784172,False,True,True,False,False,False,6.283923612794741,1.5718329629528789,19
IEEE-14_core_b5l9_006,IEEE-14,core_b5l9,45,5,9,101,-15.760152112086637,-9.31548387977,-13.07372222851194,-15.760152112086681,31.388294817240215,4.737139135623224,-9.683494500270896,False,False,True,False,False,False,6.444668232316637,6.07665761181574,19
IEEE-14_core_b5l9_006,IEEE-14,core_b5l9,45,5,9,102,-15.760152112086637,-8.737243526709662,-13.07372222851194,-15.760152112086681,31.388294817240215,4.737139135623224,-9.683494500270896,False,False,True,False,False,False,7.022908585376975,6.07665761181574,19
IEEE-57_v57_core_b4l10_003,IEEE-57,v57_core_b4l10,40,4,10,101,-25.71883096405124,-25.71883096405123,-25.71883096405123,-24.460294909991532,-15.584425288865553,-22.407191555208563,-23.61467788474219,True,True,False,False,False,False,1.0658141036401503e-14,2.10415307930905,19
IEEE-57_v57_core_b4l10_003,IEEE-57,v57_core_b4l10,40,4,10,102,-25.71883096405124,-22.407191555208563,-25.71883096405123,-24.460294909991532,-15.584425288865553,-22.407191555208563,-23.61467788474219,False,True,False,False,False,False,3.3116394088426766,2.10415307930905,19
IEEE-118_v118_core_b4l10_000,IEEE-118,v118_core_b4l10,40,4,10,101,-16.30306280167277,-16.078158496575792,-16.30306280167281,-16.30306280167281,-12.336244638671497,-12.336244638671497,-16.30306280167281,False,True,True,False,False,True,0.22490430509697745,-3.907985046680551e-14,19
IEEE-118_v118_core_b4l10_000,IEEE-118,v118_core_b4l10,40,4,10,102,-16.30306280167277,-16.078158496575792,-16.30306280167281,-16.30306280167281,-12.336244638671497,-12.336244638671497,-16.30306280167281,False,True,True,False,False,True,0.22490430509697745,-3.907985046680551e-14,19
