target,family,method,run,evaluations,ratio
reg3_m60_s6,reg3,cold,0,15960,0.9259259259259259
reg3_m60_s6,reg3,cold,0,16010,0.9259259259259259
reg3_m60_s6,reg3,cold,0,16060,0.9259259259259259
reg3_m60_s6,reg3,cold,0,16110,0.9259259259259259
reg3_m60_s6,reg3,cold,0,16160,0.9259259259259259
reg3_m60_s6,reg3,cold,0,16210,0.9259259259259259
reg3_m60_s6,reg3,cold,0,16260,0.9135802469135802
reg3_m60_s6,reg3,cold,0,16310,0.9135802469135802
reg3_m60_s6,reg3,cold,0,16360,0.9135802469135802
reg3_m60_s6,reg3,cold,0,16410,0.9135802469135802
reg3_m60_s6,reg3,cold,0,16460,0.9135802469135802
reg3_m60_s6,reg3,cold,0,16510,0.9135802469135802
reg3_m60_s6,reg3,cold,0,16560,0.9135802469135802
reg3_m60_s6,reg3,cold,0,16610,0.9135802469135802
reg3_m60_s6,reg3,cold,0,16660,0.9135802469135802
reg3_m60_s6,reg3,cold,0,16710,0.9135802469135802
reg3_m60_s6,reg3,cold,0,16760,0.9135802469135802
reg3_m60_s6,reg3,cold,0,16810,0.9135802469135802
reg3_m60_s6,reg3,cold,0,16860,0.9135802469135802
reg3_m60_s6,reg3,cold,0,16910,0.9259259259259259
reg3_m60_s6,reg3,cold,0,16960,0.9259259259259259
reg3_m60_s6,reg3,cold,0,17010,0.9259259259259259
reg3_m60_s6,reg3,cold,0,17060,0.9259259259259259
reg3_m60_s6,reg3,cold,0,17110,0.9259259259259259
reg3_m60_s6,reg3,cold,0,17160,0.9259259259259259
reg3_m60_s6,reg3,cold,0,17210,0.9259259259259259
reg3_m60_s6,reg3,cold,0,17260,0.9259259259259259
reg3_m60_s6,reg3,cold,0,17310,0.9259259259259259
reg3_m60_s6,reg3,cold,0,17360,0.9259259259259259
reg3_m60_s6,reg3,cold,0,17410,0.9259259259259259
reg3_m60_s6,reg3,cold,0,17460,0.9259259259259259
reg3_m60_s6,reg3,cold,0,17510,0.9259259259259259
reg3_m60_s6,reg3,cold,0,17560,0.9259259259259259
reg3_m60_s6,reg3,cold,0,17610,0.9259259259259259
reg3_m60_s6,reg3,cold,0,17660,0.9259259259259259
reg3_m60_s6,reg3,cold,0,17710,0.9259259259259259
reg3_m60_s6,reg3,cold,0,17760,0.9259259259259259
reg3_m60_s6,reg3,cold,0,17810,0.9259259259259259
reg3_m60_s6,reg3,cold,0,17860,0.9259259259259259
reg3_m60_s6,reg3,cold,0,17910,0.9259259259259259
reg3_m60_s6,reg3,cold,0,17960,0.9259259259259259
reg3_m60_s6,reg3,cold,0,18010,0.9259259259259259
reg3_m60_s6,reg3,cold,0,18060,0.9259259259259259
reg3_m60_s6,reg3,cold,0,18110,0.9259259259259259
reg3_m60_s6,reg3,cold,0,18160,0.9259259259259259
reg3_m60_s6,reg3,cold,0,18210,0.9259259259259259
reg3_m60_s6,reg3,cold,0,18260,0.9259259259259259
reg3_m60_s6,reg3,cold,0,18310,0.9259259259259259
reg3_m60_s6,reg3,cold,0,18360,0.9259259259259259
reg3_m60_s6,reg3,cold,0,18410,0.9259259259259259
reg3_m60_s6,reg3,cold,0,18460,0.9259259259259259
reg3_m60_s6,reg3,cold,0,18510,0.9259259259259259
reg3_m60_s6,reg3,cold,0,18560,0.9259259259259259
reg3_m60_s6,reg3,cold,0,18610,0.9259259259259259
reg3_m60_s6,reg3,cold,0,18660,0.9259259259259259
reg3_m60_s6,reg3,cold,0,18710,0.9259259259259259
reg3_m60_s6,reg3,cold,0,18760,0.9259259259259259
reg3_m60_s6,reg3,cold,0,18810,0.9259259259259259
reg3_m60_s6,reg3,cold,0,18860,0.9259259259259259
reg3_m60_s6,reg3,cold,0,18910,0.9259259259259259
reg3_m60_s6,reg3,cold,0,18960,0.9259259259259259
reg3_m60_s6,reg3,cold,0,19010,0.9259259259259259
